"RT" "ID" "shape" "color"
49 "1" "round" "monochromatic"
47 "2" "round" "monochromatic"
46 "3" "round" "monochromatic"
47 "4" "round" "monochromatic"
48 "5" "round" "monochromatic"
47 "6" "round" "monochromatic"
41 "7" "round" "monochromatic"
46 "8" "round" "monochromatic"
43 "9" "round" "monochromatic"
47 "10" "round" "monochromatic"
46 "11" "round" "monochromatic"
45 "12" "round" "monochromatic"
48 "1" "square" "monochromatic"
46 "2" "square" "monochromatic"
47 "3" "square" "monochromatic"
45 "4" "square" "monochromatic"
49 "5" "square" "monochromatic"
44 "6" "square" "monochromatic"
44 "7" "square" "monochromatic"
45 "8" "square" "monochromatic"
42 "9" "square" "monochromatic"
45 "10" "square" "monochromatic"
45 "11" "square" "monochromatic"
40 "12" "square" "monochromatic"
49 "1" "round" "color"
46 "2" "round" "color"
47 "3" "round" "color"
45 "4" "round" "color"
49 "5" "round" "color"
45 "6" "round" "color"
41 "7" "round" "color"
43 "8" "round" "color"
44 "9" "round" "color"
46 "10" "round" "color"
45 "11" "round" "color"
40 "12" "round" "color"
45 "1" "square" "color"
43 "2" "square" "color"
44 "3" "square" "color"
45 "4" "square" "color"
48 "5" "square" "color"
46 "6" "square" "color"
40 "7" "square" "color"
45 "8" "square" "color"
40 "9" "square" "color"
45 "10" "square" "color"
47 "11" "square" "color"
40 "12" "square" "color"
